stulinr;posnr;menge;artnr;artbez1
61.02.0298;521;1;61.02.0215;Schlauchsatz KZW10
61.02.0298;522;1;10.80.0015;Not-Aus-Pilzdrucktaster
61.02.0298;580;1;12.91.0004;Gehänge
61.02.0298;590;1;12.19.0114;Rohrkabelschuhe KRF25-8, 25 mm² (Ø8)
61.02.0298;600;3;12.19.0115;Rohrkabelschuhe KRF25-6, 25 mm² (Ø8)
61.02.0298;610;1;12.41.0102;Ladegerät Optimate 2
61.02.0298;620;1;12.41.0101;Nachladewarner
61.02.0298;360;1;61.02.0302;Baugrp Halter Haspelachse kompl
61.02.0302;10;1;10.10.0559;PH-Schrauben
61.02.0302;20;2;10.10.1043;Kegelkerbstift Ø6x40
61.02.0302;30;2;10.10.0148;6-kt-Schrauben
61.02.0302;40;2;10.10.0286;Federringe
61.02.0302;50;2;10.10.0945;U-Scheiben
61.02.0302;60;1;10.10.01249;Verschlussglied Ø5x50, Öffnung 6.5mm
61.02.0302;70;0,3;10.10.01212;Flache Kette Ø2.5
61.02.0302;80;1;10.10.0577;Ringschrauben
61.02.0302;90;1;61.02.0250;Stecknagel (Ø20)
61.02.0302;100;1;61.02.0249;Gegenplatte Halter Haspelachse
61.02.0302;110;1;61.02.0245;Baugrp Halter Haspelachse
61.02.0245;10;1;61.02.0242;Grundplatte
61.02.0245;20;1;61.02.0243;Spickel
61.02.0245;30;1;61.02.0244;Lasche
61.02.0298;110;4;10.43.0049;Steckbolzen mit Axialsicherung Ø12x45
61.02.0100;20;1;61.02.0219;Baugrp Power Unit BM+EM
61.02.0219;10;15;10.10.0942;U-Scheiben
61.02.0219;30;2;10.10.1049;U-Scheiben
61.02.0219;40;2;10.10.0090;6-kt-Schrauben
61.02.0219;50;4;10.10.0094;6-kt-Schrauben
61.02.0219;60;2;10.10.0099;6-kt-Schrauben
61.02.0219;70;1;10.10.0100;6-kt-Schrauben
61.02.0219;80;1;12.20.0003;6-kt-Schrauben UNF-Gewinde
61.02.0219;90;2;10.10.0044;6-kt-Muttern 0,8 d
61.02.0219;100;2;10.10.0045;6-kt-Muttern 0,8 d
61.02.0219;110;4;10.10.0619;Sicherungsmuttern
61.02.0219;120;1;10.10.0324;Flügelschrauben
61.02.0219;150;1;10.30.0003;Kugelknopf DIN 319 Pr, Form C, 40mm, M10
61.02.0219;160;1;12.20.0002;Fliehkraftkupplung 2-Rillig
61.02.0219;180;1;61.02.0216;Distanzring Fliehkraftkupplung
61.02.0219;200;1;61.02.0217;Distanzring Kupplung 2R
61.02.0219;210;2;61.02.0218;Keilriemen SPA 825
61.02.0219;220;1;12.15.0002;Keilriemenscheibe SPA 85, 1-Rillig
61.02.0219;240;1;61.02.0221;Baugrp Elektromotor kombiniert
61.02.0219;230;1;12.15.0003;Taper-Lock Spannbuchse
61.02.0219;20;3;10.10.0943;U-Scheiben
61.02.0219;130;1;10.10.0506;Passfedern
61.02.0219;235;1;12.20.0155;Keil 3/16"x3/16"
61.02.0219;170;1;12.20.0226;Benzinmotor 6.5HP mit Elektrostart
61.02.0100;30;1;12.91.0004;Gehänge
61.02.0100;40;1;12.51.0122;Abdeckhülle zu KZW10, Masch. Nr. 1922
61.02.0100;50;1;60.02.5100;Transportanhänger bis 100 km/h zugelasse
61.02.0100;60;1;60.03.0851;Logo zu Abdeckblache
61.02.0100;70;1;60.02.5120;Messdatenregistrierung PMC 14 S
60.02.5120;10;1;12.64.0017;USB Stick 4GB
61.02.0100;80;1BLOCKED;61.02.0280;Baugruppe Haspel Nr. 5
61.02.0280;10;8;61.02.0281;Querstrebe
61.02.0280;20;2;61.06.0250;Rohrreif
61.02.0280;30;2;61.02.0283;Querstrebe
61.02.0280;40;2;61.02.0284;Seitenwand
61.02.0280;60;4;61.02.0288;Baugruppe Querstrebe verstärkt
61.02.0288;20;2;61.02.0287;Verstärkung
61.02.0288;10;1;61.02.0289;Querstrebe
61.02.0280;70;2;61.02.0290;Baugruppe Haspellager
61.02.0290;10;4;40.10.8022;Winkelstahl St. 37 scharfkantig
61.02.0280;80;1;61.02.0292;Baugruppe Haspelrohr mit Seilhaken
61.02.0292;10;2;61.02.0291;Seilhaken
61.02.0292;20;1;61.02.0293;Stahlrohr starkw. nahtl. E355 (St. 52)
61.02.0100;90;1;61.02.0279;Baugruppe Zugeinheit mit Spill
61.02.0279;10;1;10.20.0002;Flanschlager
61.02.0279;20;1;10.20.0096;Kugellagerkugel
61.02.0279;30;2;10.10.1043;Kegelkerbstift Ø6x40
61.02.0279;50;2;10.10.0500;Passcheiben
61.02.0279;60;2;10.10.0025;6-kt-Muttern
61.02.0279;70;2;10.10.0097;6-kt-Schraube
61.02.0279;80;2;10.10.0237;6-kt-Schrauben
61.02.0279;40;2;10.10.01108;Zylinderstifte
61.02.0279;90;1;10.10.03555;Gewindestifte mit Zapfen
61.02.0279;100;1;10.10.03556;Gewindestifte mit Zapfen
61.02.0279;110;4;10.10.01016;ZK-Schrauben I-6-kt.
61.02.0279;120;1;10.10.0512;Passfedern
61.02.0279;130;2;10.10.0637;Sicherungsringe für Bohrungen
61.02.0279;140;4;10.10.0938;U-Scheiben
61.02.0279;150;2;10.10.0682;Sicherungsringe für Wellen
61.02.0279;160;8;10.10.0943;U-Scheiben
61.02.0279;170;1;10.39.0007;Normdruckfeder d=1.25, D=6.3, Lo=12mm
61.02.0279;180;2;10.20.0003;Rillenkugellager 6007
61.02.0279;190;1;10.30.0055;Kettenschloss gerade, zweifach
61.02.0279;200;1;10.30.0054;Rollenkette-zweifach
61.02.0279;210;1;61.02.0052;Mitnehmerbolzen
61.02.0279;220;1;61.02.0043;Spillwelle
61.02.0279;230;1;61.02.0053;Wellenschutz
61.02.0279;240;1;61.02.0042;Lagerbock
61.02.0279;250;1;61.02.0230;Gegenplatte Lagerbock
61.02.0279;260;1;40.10.7707;Grundplatte Lagerbock
61.02.0279;270;1;61.02.0057;Baugrp Kettenradscheibe
61.02.0279;280;2;10.10.01988;6-kt-Muttern
61.02.0279;290;1;61.03.0280;Baugrp Spill
