liefnr,majesty_name,majesty_name_norm,ifas_nummer,ifas_name,match_method,match_score,auto_accepted,wbz
89045,sdt Schalldämpfertechnik GmbH,sdt schalldampfertechnik,001192,sdt Schalldämpfertechnik GmbH,exact_norm,1.0,1,
89009,Séchy Schweisstechnik AG,sechy schweisstechnik,002183,Séchy Schweisstechnik AG,exact_norm,1.0,1,
89038,SETON,seton,001789,SETON Division,candidate,0.99,1,
89001,SF-Filter AG,sf filter,001361,SF-Filter AG,exact_norm,1.0,1,14
89013,SGT,sgt,001345,SGT Sinterform-Gleitlager-Technik AG,candidate,0.99,1,21,
89029,Sieber Transport AG,sieber transport,001065,Sieber Transport AG,exact_norm,1.0,1,
89048,Signal AG,signal,001193,Signal AG,exact_norm,1.0,1,
89042,SIGWA GMBH,sigwa,001194,SIGWA GMBH,exact_norm,1.0,1,
89046,SIKA Schweiz AG,sika schweiz,001195,SIKA Schweiz AG,exact_norm,1.0,1,
89055,Simpex Electronic AG,simpex electronic,001612,Simpex Electronic AG,exact_norm,1.0,1,
89054,Sinntec Schmiersysteme GmbH,sinntec schmiersysteme,001308,SINNTEC Schmiersysteme GmbH,exact_norm,1.0,1,
89033,Sommer Feinmechanik GmbH,sommer feinmechanik,001070,Sommer Feinmechanik GmbH,exact_norm,1.0,1,14
89026,SpanSet AG,spanset,001643,SpanSet AG,exact_norm,1.0,1,
89035,SPIWA Mechanik AG,spiwa mechanik,001042,Spiwa Mechanik AG,exact_norm,1.0,1,28
89050,Spälti AG,spalti,001613,Spälti AG,exact_norm,1.0,1,
91003,"Steck AG, Bigenthal",steck bigenthal,001802,Steck AG Bigenthal,exact_norm,1.0,1,
91006,Steinbock Handling AG,steinbock handling,001422,Steinbock Handling AG,exact_norm,1.0,1,
91009,Strassenverkehrs- und,strassenverkehrs und,000958,Strassenverkehrs- und Schifffahrtsamt,candidate,0.99,1,
91012,Straub Hydraulik AG,straub hydraulik,001327,Straub Hydraulik AG,exact_norm,1.0,1,
91019,Stäubli Electrical Connectors AG,staubli electrical connectors,001196,Stäubli Electrical Connectors AG,exact_norm,1.0,1,
91020,Stüwe Switzerland AG,stuwe switzerland,002135,Stüwe Switzerland AG,exact_norm,1.0,1,
89043,SUNCAR AG,suncar,001064,SUNCAR AG,exact_norm,1.0,1,
89027,Webcraft GmbH,webcraft,001907,Webcraft AG,exact_norm,1.0,1,
89019,Sury AG,sury,002054,Sury AG,exact_norm,1.0,1,
89030,Suter Kunststoffe AG,suter kunststoffe,001425,Suter Kunststoffe AG,exact_norm,1.0,1,
89020,Swibox AG,swibox,001197,Swibox AG,exact_norm,1.0,1,
89017,Südo AG,sudo,000967,Südo AG,exact_norm,1.0,1,14,
92012,druckdesign Tanner AG,druckdesign tanner,001130,druckdesign Tanner AG,exact_norm,1.0,1,
92021,TECHNO-Gewebe Vajen GmbH,techno gewebe vajen,001198,TECHNO-Gewebe Vajen GmbH,exact_norm,1.0,1,
92010,Tele Radio GmbH,tele radio,001350,Tele Radio Schweiz GmbH,candidate,0.99,1,21
92017,Tele Radio Schweiz GmbH,tele radio schweiz,001350,Tele Radio Schweiz GmbH,exact_norm,1.0,1,21
92003,TESMEC S.p.A.,tesmec s p a,001031,TESMEC SpA,candidate,0.99,1,
92015,Thommen-Furler AG,thommen furler,001533,Thommen-Furler AG,exact_norm,1.0,1,
92005,Tibram AG,tibram,001199,Tibram AG,exact_norm,1.0,1,28
92011,BKW Energie AG,bkw energie,000999,BKW Energie AG,exact_norm,1.0,1,
92018,Trafar AG,trafar,001873,Trafar AG Anlagen- und Maschinenbau,candidate,0.99,1,
92013,Trelco AG,trelco,001742,Trelco AG,exact_norm,1.0,1,
93002,"EMZ Unitec AG, Schweiz",emz unitec schweiz,001896,EMZ GmbH,candidate,0.99,1,
94012,Vanatics AG,vanatics,001200,Vanatics AG,exact_norm,1.0,1,
94009,VEGA Messtechnik AG,vega messtechnik,001201,VEGA Messtechnik AG,exact_norm,1.0,1,
94010,Verzinkerei Oberuzwil,verzinkerei oberuzwil,001202,Verzinkerei Oberuzwil AG,exact_norm,1.0,1,14
94005,Vetter GmbH,vetter,001341,Vetter GmbH,exact_norm,1.0,1,
94004,Vibraplast AG,vibraplast,000968,Vibraplast AG,exact_norm,1.0,1,14
94008,VTS Track Solutions,vts track solutions,002024,VTS Track Solutions B.V.,candidate,0.99,1,120
95001,ZF CV Systems Global GmbH,zf cv systems global,001128,ZF CV Systems Global GmbH,exact_norm,1.0,1,
95008,Robor AG,robor,001334,ROBOR AG,exact_norm,1.0,1,
95007,Werren Werbetechnik GmbH,werren werbetechnik,001029,Werren Werbetechnik,exact_norm,1.0,1,14
95020,Würth AG,wurth,001787,Würth AG,exact_norm,1.0,1,
96005,Zaugg AG Eggiwil,zaugg eggiwil,001020,Zaugg AG Eggiwil,exact_norm,1.0,1,
96006,Zbinden Posieux SA,zbinden posieux,001772,Zbinden Posieux SA,exact_norm,1.0,1,
96001,Zeitler AG,zeitler,001591,Zeitler AG,exact_norm,1.0,1,
96009,Zurrfix AG,zurrfix,001966,Zurrfix AG,exact_norm,1.0,1,
